SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,1648 Norfolk St,Houston,TX,77006,599000,3.0,3.5,Castle Court,2132.0,1720.0,1999.0,2,281.0,,Active,,,https://www.redfin.com/TX/Houston/1648-Norfolk-St-77006/home/29238878,HARMLS,84227813,N,Y,29.7329738,-95.4015555
MLS Listing,,Single Family Residential,1608 Vassar St,Houston,TX,77006,650000,2.0,2.0,North Edgemont,1445.0,5720.0,1935.0,3,450.0,,Active,,,https://www.redfin.com/TX/Houston/1608-Vassar-St-77006/home/29844289,HARMLS,50036775,N,Y,29.7306282,-95.3998405
MLS Listing,,Single Family Residential,1534 Nevada St Unit B,Houston,TX,77006,640000,3.0,3.5,Haddon Manor,2242.0,1680.0,2008.0,3,285.0,173.0,Active,,,https://www.redfin.com/TX/Houston/1534-Nevada-St-77006/unit-B/home/29586039,HARMLS,92352211,N,Y,29.7506553,-95.4001472
MLS Listing,,Townhouse,216 Hawthorne St Unit B,Houston,TX,77006,499999,3.0,3.5,Westmoreland Amd,2566.0,1590.0,1998.0,4,195.0,250.0,Active,,,https://www.redfin.com/TX/Houston/216-Hawthorne-St-77006/unit-B/home/30683676,HARMLS,15476680,N,Y,29.7428052,-95.3827902
MLS Listing,,Single Family Residential,3416 Audubon Pl,Houston,TX,77006,3050000,4.0,4.0,Holley,4699.0,21601.0,1930.0,4,649.0,,Active,,,https://www.redfin.com/TX/Houston/3416-Audubon-Pl-77006/home/29722886,HARMLS,98741784,N,Y,29.7415783,-95.3869001
MLS Listing,,Townhouse,1537 Haddon St,Houston,TX,77006,575000,3.0,3.5,Haddon Manor,2242.0,,2007.0,4,256.0,229.0,Active,,,https://www.redfin.com/TX/Houston/1537-Haddon-St-77006/home/29586041,HARMLS,18568784,N,Y,29.7507817,-95.4003328
MLS Listing,,Single Family Residential,4413 Roseland St,Houston,TX,77006,474000,2.0,1.0,Roseland,1179.0,5000.0,1910.0,4,402.0,,Active,,,https://www.redfin.com/TX/Houston/4413-Roseland-St-77006/home/29738227,HARMLS,25895434,N,Y,29.7328611,-95.3895592
MLS Listing,,Single Family Residential,5001 Mandell,Houston,TX,77006,1000000,3.0,2.5,"""Edgemont, Boulevard Oaks""",2253.0,7605.0,1934.0,4,444.0,67.0,Active,,,https://www.redfin.com/TX/Houston/5001-Mandell-St-77006/home/29820180,HARMLS,77578908,N,Y,29.7287246,-95.3992624
MLS Listing,,Condo/Co-op,3614 Montrose Blvd #701,Houston,TX,77006,305000,2.0,2.0,Montrose,1078.0,,1964.0,4,283.0,1214.0,Active,,,https://www.redfin.com/TX/Houston/3614-Montrose-Blvd-77006/unit-701/home/30423539,HARMLS,33933210,N,Y,29.7398638,-95.3914912
MLS Listing,,Townhouse,808 Marshall St,Houston,TX,77006,490000,3.0,2.5,Montrose,1996.0,1525.0,1983.0,4,245.0,,Active,,,https://www.redfin.com/TX/Houston/808-Marshall-St-77006/home/29723841,HARMLS,20487717,N,Y,29.7400115,-95.3893594
MLS Listing,,Townhouse,4437 Yoakum Blvd,Houston,TX,77006,599900,3.0,2.5,Whitland Place T/h,2723.0,2262.0,1978.0,5,220.0,225.0,Active,,,https://www.redfin.com/TX/Houston/4437-Yoakum-Blvd-77006/home/30319660,HARMLS,36313747,N,Y,29.733136,-95.3918757
MLS Listing,,Single Family Residential,215 Drew St,Houston,TX,77006,675000,3.0,3.5,Baldwin Street Lndg Amd P,2572.0,1710.0,2020.0,5,262.0,82.0,Active,,,https://www.redfin.com/TX/Houston/215-Drew-St-77006/home/175074775,HARMLS,19778088,N,Y,29.7481818,-95.3814143
MLS Listing,,Townhouse,1465 Missouri St,Houston,TX,77006,590000,3.0,3.5,Commonwealth Court,2426.0,1853.0,2002.0,5,243.0,138.0,Active,,,https://www.redfin.com/TX/Houston/1465-Missouri-St-77006/home/30724317,HARMLS,31199028,N,Y,29.7457169,-95.3948669
MLS Listing,,Multi-Family (5+ Unit),1317 Hawthorne St #12,Houston,TX,77006,1400000,12.0,,Montrose,10114.0,,1950.0,6,138.0,,Active,,,https://www.redfin.com/TX/Houston/1317-Hawthorne-St-77006/unit-12/home/29724179,HARMLS,25452753,N,Y,29.7421536,-95.3950856
MLS Listing,,Condo/Co-op,3402 Garrott St #4,Houston,TX,77006,220000,1.0,1.0,Garrott T/h Condo,646.0,13302.0,1968.0,6,341.0,259.0,Active,,,https://www.redfin.com/TX/Houston/3402-Garrott-St-77006/unit-4/home/30445034,HARMLS,29106187,N,Y,29.7421886,-95.3857634
MLS Listing,,Townhouse,328 Bomar St,Houston,TX,77006,595000,3.0,3.5,Balconies of Bomar,2688.0,1857.0,2009.0,6,221.0,183.0,Active,,,https://www.redfin.com/TX/Houston/328-Bomar-St-77006/home/34196365,HARMLS,98049246,N,Y,29.7521472,-95.3864708
MLS Listing,,Single Family Residential,1214 W Drew St,Houston,TX,77006,1695000,4.0,4.5,Westover,3792.0,5000.0,2017.0,6,447.0,,Active,,,https://www.redfin.com/TX/Houston/1214-W-Drew-St-77006/home/29763649,HARMLS,66144805,N,Y,29.749906,-95.3947453
MLS Listing,,Condo/Co-op,2510 Travis St #102,Houston,TX,77006,229000,1.0,1.0,Travis Lofts,1136.0,,2011.0,7,202.0,494.0,Active,,,https://www.redfin.com/TX/Houston/2510-Travis-St-77006/unit-102/home/43502073,HARMLS,72960691,N,Y,29.746555,-95.3748575
MLS Listing,,Condo/Co-op,3311 Yupon St #604,Houston,TX,77006,395000,2.0,2.0,Tremont Tower,1434.0,,2003.0,7,275.0,626.0,Active,,,https://www.redfin.com/TX/Houston/3311-Yupon-St-77006/unit-604/home/29329153,HARMLS,67624468,N,Y,29.7429811,-95.3953597
MLS Listing,,Single Family Residential,1101 Missouri St,Houston,TX,77006,575000,2.0,2.5,Hyde Park Annex Amd,3032.0,2073.0,1997.0,9,190.0,472.0,Active,,,https://www.redfin.com/TX/Houston/1101-Missouri-St-77006/home/29689204,HARMLS,84706181,N,Y,29.7461159,-95.3920997
MLS Listing,,Single Family Residential,423 Marshall St,Houston,TX,77006,799000,4.0,3.5,Westmoreland,4960.0,3125.0,1999.0,9,161.0,,Active,,,https://www.redfin.com/TX/Houston/423-Marshall-St-77006/home/29762758,HARMLS,70995858,N,Y,29.7400167,-95.3827266
MLS Listing,,Single Family Residential,1526 Welch St,Houston,TX,77006,550000,4.0,2.0,Lucile Place,2284.0,5230.0,1945.0,10,241.0,,Active,,,https://www.redfin.com/TX/Houston/1526-Welch-St-77006/home/29985480,HARMLS,18447593,N,Y,29.7494738,-95.3990475
MLS Listing,,Single Family Residential,1320 Vassar St,Houston,TX,77006,1799000,6.0,5.0,Vassar Place R/p,3700.0,8093.0,2022.0,10,486.0,25.0,Active,,,https://www.redfin.com/TX/Houston/1320-Vassar-St-77006/home/29935553,HARMLS,93156960,N,Y,29.7308282,-95.3960212
MLS Listing,,Townhouse,1102 California St,Houston,TX,77006,539000,3.0,2.5,Hyde Park Annex Amd,2858.0,1705.0,1997.0,11,189.0,446.0,Active,,,https://www.redfin.com/TX/Houston/1102-California-St-77006/home/29689201,HARMLS,15284738,N,Y,29.7456339,-95.3921259
MLS Listing,,Single Family Residential,1210 Bartlett St,Houston,TX,77006,725000,3.0,3.5,Museum District,2564.0,1529.0,2017.0,14,283.0,,Active,,,https://www.redfin.com/TX/Houston/1210-Bartlett-St-77006/home/66048491,HARMLS,45016637,N,Y,29.7278717,-95.3940772
MLS Listing,,Townhouse,2615 Albany St,Houston,TX,77006,475000,3.0,3.5,Helena Park,2407.0,1594.0,2003.0,14,197.0,183.0,Active,,,https://www.redfin.com/TX/Houston/2615-Albany-St-77006/home/29176739,HARMLS,59620148,N,Y,29.7495941,-95.3819417
MLS Listing,,Single Family Residential,1209 Bomar St,Houston,TX,77006,895000,4.0,2.0,Hyde Park,2464.0,5000.0,1920.0,14,363.0,,Active,,,https://www.redfin.com/TX/Houston/1209-Bomar-St-77006/home/29738198,HARMLS,51878861,N,Y,29.7515552,-95.394529
MLS Listing,,Townhouse,1112 Autrey St Unit C,Houston,TX,77006,600000,3.0,3.5,112 Autrey Twnhms,2868.0,1674.0,2008.0,16,209.0,,Active,,,https://www.redfin.com/TX/Houston/1112-Autrey-St-77006/unit-C/home/29630675,HARMLS,19116201,N,Y,29.7310484,-95.3927884
MLS Listing,,Townhouse,705 Chelsea Blvd,Houston,TX,77006,599999,3.0,3.5,South End Villa,2717.0,1438.0,1997.0,17,221.0,,Active,,,https://www.redfin.com/TX/Houston/705-Chelsea-Blvd-77006/home/29745490,HARMLS,17308159,N,Y,29.7305298,-95.388451
MLS Listing,,Single Family Residential,1510 Bonnie Brae St,Houston,TX,77006,950000,4.0,2.5,Castle Court Add Rep,2920.0,6000.0,1920.0,17,325.0,,Active,,,https://www.redfin.com/TX/Houston/1510-Bonnie-Brae-St-77006/home/29772013,HARMLS,20645196,N,Y,29.7337785,-95.3984364
